userName,score,content,reviewId,userImage,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
Jimmi Candra,5,apakah shope menyediakan fitur beli pasir 1 kibik,,,,,,,,
Ahmad Dohri,5,Lancar,,,,,,,,
Muallim Muallim,5,saya selalu puas belanjadisini makasih,,,,,,,,
Sopi An,5,Sangat m embantu aq yg sibuk,,,,,,,,
Abud Abud,5,aplikasi yang sangat membatu,,,,,,,,
Albab Nur Aziz,5,titik alamat salah minta tolong di perbaiki,,,,,,,,
hana ilham 84,4,sampai hari ini saya masih merasa puas belanja di shopee,,,,,,,,
Darmawan Suddin,4,Kurirnya rata² lelet gak segercep aplikasi seblah,,,,,,,,
Yuanita Agustina,5,karna ada Shopee bisa beli apapun yg kita mau ada koin nya lagi mantep banget deh🥰🥰🩷,,,,,,,,
Atika Tahir,5,baikk,,,,,,,,
Isep Wildan,5,Shopee yang terbaik,,,,,,,,
Adam Adamz,5,puas banget belanja di shopee,,,,,,,,
John salam,4,"Katanya download shopee dapat pulsa 20k,bohong aje lu",,,,,,,,
Ari Gayo,5,ok👍👍👍,,,,,,,,
Zafia Varlina,5,Skarang aq klo perlu ap² slalu blanja d shopee. klo bsa ongkir-a murahin lg donk.,,,,,,,,
Rey Diha,1,"sangat dan sangat kecewa menggunakan shopee😡😡😡😡kenapa COD CEK DULU di nonaktifkan dengan alasan karena saya membatalkan pesanan lebih dari 2 kali dalam waktu 60 hari padahal saya tidak pernah membatalkan pesanan,pesanan yang batal itu karena jasa kirim yang membatalkan secara sepihak tanpa menginformasikan terlebih dahulu",,,,,,,,
abyan gibran,3,kasih vhocer diskon dong/hadiah lh..biar kasih bintang 5 hehe,,,,,,,,
Maju Mapan,5,shopee yess,,,,,,,,
Tita Nurhayati Prihartini,2,"limit spaylater aku knp gak nambah nambah,sedikit banget,tambahin dong limit nya",,,,,,,,
Usah “A.wilda batee” Batee,4,sejak belanja di Shopi tidak merasa dirugikan trimakasih shopee,,,,,,,,
RM_STORE RMS,2,"Baru kali ini belanja di shopee pengirimannya lambat, sampai 1 minggu barang belum sampai,.",,,,,,,,
Gaya Bakat,2,Sayang...Cuan afiliasi tidak bisa ditarik ke dana atau ovo..atau ke Shopee pay jg tidak..respon admin lama...segala npwp lg.. hasilnya jg masih jauh.. blm seberapa,,,,,,,,
Muhammad wildan,5,shopee mantab,,,,,,,,
Agus Mulyana,4,"bintang 4 dulu yah soalnya Spaylater sama Spinjam nya ga bisa di pakai,tiap aktivitas gagal terosssss kapan di ACC nya admin???",,,,,,,,
Wahyu Susanto,5,sy merasa senang sesuaway sama pesanan,,,,,,,,
Moh Ilham,5,"memuaskan,dan semua tokohnya amanah",,,,,,,,
Hjdd Bffgg,5,Mantap 👍👍👍👍👍👍.👍.................👍👍.................,,,,,,,,
zyx layssi,1,TOLONG PUTUS KERJASAMA DENGAN SICEPAS/SIGESIT EKSPRESS.. LELET SEKALI. TELAT 4 HARI DARI ESTIMASI BARANG SAMPAI. SAMPAI DETIK INI BLM ADA KEJELASAN PENGANTARAN. BIKIN RUGI AJA?!!,,,,,,,,
Danang Arsad Alamsyah,5,"Memang terkadang untuk pemesanan barang terpaksa saya batalkan karena sesuatu hal dan itupun karena masalah tehnis , tapi kenapa jadi ga bisa pakai COD ?",,,,,,,,
Erwin Listiyono KMD,5,mantap dan lancar,,,,,,,,
ferdi maulana putra,5,pelayanannya top barang sesuai yang di rekomendasikan pengiriman tepat waktu pokonya mantap shopee emang tiada dua nya terimakasih,,,,,,,,
Nadia zalika,5,suka bgt cepet bgt datengnya,,,,,,,,
Berian Ifan,5,Great!!,,,,,,,,
dodoy tri,5,good aplikasi dri dlu msih pke shopee,,,,,,,,
Rizal Kurniawan,5,ini memang pas buat belanja,,,,,,,,
Mhanyien Gronex,3,sudah lama menggunakan shopee.. spaylater nya tidak bisa di gunakan... mohon di perbaiki akun saya terima kasih 🙏🏽🙏🏽🙏🏽,,,,,,,,
Isniati Mardiyah,1,"Halo. Aku jualan gantungan tas, kategori yang dipilih sudah aku sesuaikan, yaitu gantungan tas juga, namun produk malah diturunkan, disuruh ubah kategori ke gantungan kunci, padahal itu bukan gantungan kunci loh.",,,,,,,,
talent711,5,mudah,,,,,,,,
Antok Antok,1,"baru ditolak 2x aplikasi ini tdk bs melakukan COD, tp tidak melihat belanja sblmnya berapa kali yg berhasil,kcewa dg aplikasi Shopee",,,,,,,,
Teguh_Abink 81,5,sangat membantu saya untuk keperluan pribadi,,,,,,,,
Alex Sasuke,5,utamakan cod n gratis ongkir n diskon.,,,,,,,,
Nama Sembarang,5,bagus cuman agak panjan,,,,,,,,
Dewa Gayung,5,Memuaskan,,,,,,,,
Dika Pratama,2,"skarang bnyak toko yg nipu ..KLO bisa mah buat toko nya yg lebih ketat..biar gak bnyak kejadian KLO buyer tidak pesen paket, tp ada kiriman paket..cod fiktif..kasian kurirnya...",,,,,,,,
Abdul Rohman,5,sangat berguna,,,,,,,,
Ghazan Rizqullah,5,"caraa mudah berbelanja dari rumah 🔥👍, tinggal pilih satset selesai ,",,,,,,,,
lutfi zaidan,5,saya menyukainya.👍,,,,,,,,
Jumar Di,5,cepat dan tepat,,,,,,,,
Juwanto 11,5,sukses terus,,,,,,,,
satrio wibowo,1,GK punya tunggakan tp paylater nonaktif?,,,,,,,,
Trisno Marhadi,5,"baik sekali,memudah kan cari barang yg di butuhkan,u/penjual harga iklan hendaknya tidak berubah setelah di klik beli,",,,,,,,,
Lucie Anjani,5,tolong yg akun² penipu di hempas ajah saya takut kena tipu.beli apa dikirim apa,,,,,,,,
Nur Haliza,5,murah dan terpecaya,,,,,,,,
SYAIFUL BAHRIE,5,Belanja jadi lebih mudah. Gak perlu keluar rumah. Harga terjangkau. Tepat waktu. Kurirnya juga ramah.Maju terus Shoope!!!,,,,,,,,
Arcelio Fan,5,memudahkan belanja dgn produk yg cukup baik,,,,,,,,
HERMANSYAH,5,good.. sangat membantu sekali,,,,,,,,
Komarudin Betay,5,"mudah,informatip,banyak pilihan,kemudahan reffund..dll",,,,,,,,
Fikri Saputra,2,"sejak jnt ditiadakan kami rakyat Sulawesi sulit untuk co barang, ongkir jadi serba mahal, pengirimannya sampai 10 hari, beda dg dulu sejak pakai jnt, alhasil kami pindahh cari ke toko seblah, semoga kebijaksanaan nya memuahkan hasil.",,,,,,,,
Teguh Mulyo,1,"kok pesan saya di kemas terus, apa nggak ada konfirmasi dari pihak shopee ke penjual?? tolong di konfirmasi kan.",,,,,,,,
Esti Munafifah,4,mantab jaya,,,,,,,,
Millah Oi oi,5,bagus recommend banget 😍,,,,,,,,
"Adhitya AE Jawa,Timur",5,Perkembangan update pembaharuan !!!,,,,,,,,
Nindya Maheswari,5,bagus sih tapi ada kendala yaitu saat status pesanan sudah menuju alamat anda tolong dong kasih maps yg benar masa kurirnya ngestak di tempat,,,,,,,,
Sayyi Sa'diyaa,1,"Dulu aja enak banyak voucher minimal belanjanya juga dikit,lah skrg minimal belanja 100rb baru dpt voucher,mlh voucher hrs beli dulu, gak worth it pengiriman lambat main kesini makin lelet lemot kali",,,,,,,,
handaja bamb,5,ok😁,,,,,,,,
mohencepwijaya bersaudara,5,membantu sekali,,,,,,,,
Jefri Gci,5,sangat baik cuman semangat,,,,,,,,
Agus Joyo,5,"menarik dan murah""",,,,,,,,
Adhis SNT,1,kenapa j&t hg ada lagi?,,,,,,,,
R Anggraeni,5,perbaikan bagus,,,,,,,,
edy Wihantyo,5,puas dengan pelayanannya..,,,,,,,,
Puji Lestari,5,selalu puas blanja di shopee,,,,,,,,
Sumarlik Mama lilik,5,"pelayanan bagus, kadang ada terlambat dalam pengiriman nya, kurir juga ok",,,,,,,,
Muflih Ahsanudin,5,pertahankan gratis ongkis tanpa minimal pembelian berguna bangett,,,,,,,,
Syamsudin,1,"Shopee bener kacau ngirim muter muter mlulu barang lama sampai, bukanya makin bagus ini makin hancur,",,,,,,,,
Masnon Christina,5,buat enjual trima kasih bnyak .sudah berbagi ilmu .agar selalu sehat.,,,,,,,,
Santoni Toni,5,shopee bagus dan mempermudah kita untuk blanja,,,,,,,,
Ahmd Saif,4,kenapa jadi lama si pengiriman nya,,,,,,,,
Fuzy ZhieZhou,5,"Shopee Sekarang tambah lemot, Mau buka beranda aja lama banget, padahal sinyal bagus, kuota banyak, aplikasi dah di update, tetep aja masih lemot, Banyak fitur bukannya tambah bagus Malah tambah Lemot, Coba tuh di hapus fitur Video, Real atau Racun Shopee biar aplikasi Shopee lancar ky dulu. Kalau Shopee masih ngelage terus kaya gini pasti Orang2 pd pindah ke Aplikasi Lain",,,,,,,,
Nadin Nadira.,5,oke lah,,,,,,,,
Gondrong Expres,5,ok banget sangat membantu.,,,,,,,,
Muhammad Ismail,5,sangat bermanfaat dan berguna sekali,,,,,,,,
Lena Lena,5,❤️❤️,,,,,,,,
Anis Khoerunisa,5,mantaaaaapp,,,,,,,,
Yansyah aditya,1,"cukup kecewa dengan shopee sekarang saldo shopeepay masih 8.000 sedangkan barang yang mau kita beli 6.000 tapi kenapa pas mau chek out shopeepay nya tidak bisa di gunakan.. pasti selalu ada tulisan saldo tidak cukup, padahal saldo masih cukup untuk beli barang yang mau kita beli.. tolong di perbaiki lagi",,,,,,,,
Sulifa Sulifa,5,saya suka sma shopee karna kita bisa mudah belanja online dan murah,,,,,,,,
Dadi Dadz,5,good.,,,,,,,,
Tri Haryanto,5,Trimakasih atas segala sesuatu nya 🙏🏻,,,,,,,,
kang jalal,1,cicilan masih lanjut barangnya rusak,,,,,,,,
Khambaly M,1,"saya tidak bisa menambahkan kartu debit mandiri ke shopee, mohon bantuan",,,,,,,,
Septian Awaludin,5,"aplikasi perbelanjaan dll yg sangat membantu saya , terimakasih Shopee",,,,,,,,
Indah Warda,5,buaguuuuss,,,,,,,,
Linda Adengetan loliwu Linda,5,♥️♥️,,,,,,,,
Ngotong Merapi,5,"mantappp,,, pertahankan pelayanan itu aja,,,",,,,,,,,
Arif M.,1,aplikasi tidak responsif lemot,,,,,,,,
Ana Ana,5,nganter barang nya lama padalah sudah menuju alamat tapi 3 hari saya nunguin,,,,,,,,
Dian Puspa ria,5,terimakasih shoppee...sukses slalu...,,,,,,,,
rasty anindita,5,shoope sangat bagus untuk beli barang2,,,,,,,,
Marlina,2,"pesen shopeefood ga dapet2 draver trus aja nyari draver sampai brapakali batal, mning ga adaan aja shopefood nya klo gini ngabisin waktu perut keburu lapar",,,,,,,,
Zhyez Shapoetra,3,sangat dipercaya aplikasi ini,,,,,,,,
Doni Wae,5,"Tolong buat ongkirnya jangan terlalu mahal ya, dan buat saya yg saya butuhkan yg bisa COD,",,,,,,,,
ahmad shobirin,1,biyaya lainya untuk penjual gede bgt .rincian potongan gak jelas,,,,,,,,
B Rossie,1,"pengirimannya lama banget apalagi pakai spx express, cuma lewat J&T paketnya cepat nyampai, semoga shopee bisa kerjasama lagi sama pihak J&T😥. sekarang ongkirnya mahal susah dapat gratis ongkir juga😭",,,,,,,,
Hanifa Yoska riza,5,siippp,,,,,,,,
Cun Tong,5,belanja di shopee cukup menarik,,,,,,,,
Rehan Nurdiansah,1,"akhir akhir ini banyak pesanan saya yang gak sampai jadi gak bisa COD lagi, sbagai pelanggat sangat kecewa, karna saya sbagai teknisi electronik, slalu pesan melalui shopy, kini sangat kecewa karna shopy yg gagali pesanan saya yg kena dampaknya.",,,,,,,,
Budi Mp,5,alhamdulillah sesuia & pengiriman cepat👍👍👍,,,,,,,,
ADOL SAPUTRA,1,bug tampil. udah kembali ke home/ layar utama tampilan shopee nya nyangkut. gk bisa di hapus. padahal shopee nya udah di keluarin tapi masih nyangkut aja tampilannya. harus muali ulang ponsel baru ilang. apa coba gajelas bet,,,,,,,,
Nur Hidayat,5,T O P,,,,,,,,
ngah bangker,5,dua kata saja selalu puas...😍🙏,,,,,,,,
Fitri Nurhayati,4,di coba dlu,,,,,,,,
widia ningsih,1,"Tidak bisa co tdak bsa buka aplikasi pdhal sdh d updte , chace sdh d hapus. Bka aplkasi yg lain lncar cma buka aplk shopee loading tmpilannya full orange aja",,,,,,,,
Maulana Arif,5,shopee sangat membantu,,,,,,,,
suhron jaya,5,bagus sesuai keinginan,,,,,,,,
Slamet Riyadi84,5,walau kadang ada kecewanya tapi Alhamdulillah banyak amanahnya terimakasih shopee,,,,,,,,
Oppo A5s,5,sangat bagus aplikasi ini mantap sekali,,,,,,,,
rizki Mahendra,4,"gak tau knp ,,lama2 aplikasinya jd lemot bgt semoga lbh diperbaiki lg ,,",,,,,,,,
Suandini Alqizan,5,mohon di cek mengapa alamat sya tidak bisa bayar COD,,,,,,,,
Joe satria Lee,5,untuk sekrang udah mantap,,,,,,,,
Noer Rizki,1,"tolong laporan saya terkait tagihan merchant payment pada shopee paylater saya di proses dan lakukan penghentian tagihan, proses berlangganan yg saya tidak inginkan sudah saya hentikan baik di google maupun di shopee paylaternya, bukti sudah saya lampirkan pada aduan, setiap hari saya laporkan tapi progress nya selalu mengulang ulang di CS nya. bintang akan saya perbaiki jika aduan saya diselesaikan",,,,,,,,
hardi Ansha,5,ok👍,,,,,,,,
Backar Junior,5,bagus .... di tingkatkan peringanan apk shope shop nya,,,,,,,,
Endro Susilo,1,pengiriman melalui spx expres sangat buruk. barang asal dilempar. tolong dibenahi dari kurir pengantaran nya. ini sdah berulang kali.,,,,,,,,
raen deni,4,lebih ekonomis,,,,,,,,
Nuh Wakhaji,5,recomended,,,,,,,,
Sandrina 2014,5,shopee bnyak gratis ongkirnya,,,,,,,,
hisar siahaan,5,Cemua mua ada,,,,,,,,
Syakir Romadhon,5,fitur nya sangat membntu apa lagi setiap bulan tertentu suka ada promo yang menarik,,,,,,,,
Hafizalifansah Upis,5,Keren,,,,,,,,
cv ipk,5,mantap murah,,,,,,,,
Della marsila,4,bagus sih aplikasi nya cuman kadang metode pembayaran cod nya bisa ilang gitu aja,,,,,,,,
Ketut Suadi,1,"kenapa harus JNT dihilangkan, Pengiriman JNT sangat gampang untuk ditemukan ditempat saya dan cabangnya juga banyak. kembalikan JNT jika ingin saya berikan bintang 5!!",,,,,,,,
Wiwi Pratiwi,1,tidak bisa pengajuan spaylaterrrrr berbulan bulan,,,,,,,,
Anak Rimba Indonesia,5,sip 👍.. walau terkadang ada yg dibeli tapi gak kepake...,,,,,,,,
Angah Sadih,5,"shopee mantapp bikin belanja makin mudah,dan amanah👍👍sukses truss untuk shopee🙏",,,,,,,,
Andri Syahputra,5,sangat membantu terimakasi shopee,,,,,,,,
Abyan,1,Iklan nya jahat😢,,,,,,,,
Reza Romadhon,1,"Pengiriman lama,di tanya ke cs tidak ada solusi !!!",,,,,,,,
Abdul Halik Mansyur,5,mantap..,,,,,,,,
Sukron Miin,5,"barang yang d pesan datang tepat waktu, kualitas barang sesuai dengan harga",,,,,,,,
media pratama,1,lambatt kek siput 🐌,,,,,,,,
Aef96 Saefullah,4,sejauh ini pelayanannya baik,,,,,,,,
Bau Ummi,5,Bagus 👍👍,,,,,,,,
Salsa Wais,5,Sangat bagus,,,,,,,,
Sutotok Sutotok,5,"barang bagus sesuai pesanan,terimakasih seller bahanya lentur tidak mudah pecah the best in seller",,,,,,,,
Binsar Siregar,4,excelent!,,,,,,,,
Alnian Yusuf,4,sudah bagus app nya,,,,,,,,
Andy Rakhmat,5,mantap shoope,,,,,,,,
Ady wahyu22,5,Lumayan membantu,,,,,,,,
Suriani Arani,5,keren mantap selalu ada kapanpun,,,,,,,,
Osri Donal,5,"Info notifikasi transaksi transfer pemesanan saat live, kurang informasi pemberitahuan nya",,,,,,,,
Indra Hariyanto,5,secara umum memuaskan,,,,,,,,
Yuga dwi Aluyan,5,"Aplikasi sangat berat, tlong di optimalkan lagi untuk aplikasinya",,,,,,,,
Supar Rishnov,5,Good seller 80%,,,,,,,,
Ghani Rizki Fauji,5,"maaf Gajadi aku Kasih B1 deh, aku diprank sama estimasi shopee, kirain iya harus nunggu 15hari, ternyata cuman nambah 2hari aja dari yang biasanya 4hari, terimakasih banyak shopee sudah mengutamakan kenyamanan pembeli, semoga makin maju dan sukses buat shopee. 😁🙏🏻🤝🏻",,,,,,,,
Dany Rohandy,5,tep man,,,,,,,,
Gilang Galang,1,lama banget,,,,,,,,
Syaf rudin,4,"halo kak saya ingin bertanya, kenapa shoope saya tidak bisa cod lagi yaa tolong bantuannya kak, karna saya ketergantungan sama shoope",,,,,,,,
Muhammad Rafqi,5,selalu belanja di shopee,,,,,,,,
Deny Letmanen,1,kalo ngk mau ngasih spaylatter ngk usah buat aplikasi klen,,,,,,,,
Tosid skj,5,bagus dan tepat,,,,,,,,
Siti safana,5,mempermudah membeli barang,,,,,,,,
Ratna Zulfikar,5,menurutku sih shopee ini agak lebih murah drpd apk sebelah..ongkir jg standar dan banyak gratis ongkir,,,,,,,,
Di Yani,5,dpt koin,,,,,,,,
Akunff Hoki,5,sangat cocok buat saya untuk berbelanja online,,,,,,,,
Mohammad Risqi,5,emang the best tempat belanja di sini selalu dapat diskon dan pengiriman tepat waktu mantap,,,,,,,,
Zaidi Kurnia,5,shopee adalah aplikasi yang sangat baik dan belaja sangat murah dan mudah digunakan semoga kedepannya bisa lebih mudah digunakan dan baik lagi,,,,,,,,
Cempaka CELL,1,"berjualan di shopi makin ribet,penerusan dana aja lama bnget gmn mau maju jualan nya,alasanya masa garansi lah gk ada garansi kok apanya yg dijadikan garansi aneh",,,,,,,,
Kirana Erma,5,dangat bermanfaat,,,,,,,,
Yudi Mahmudin,3,"upgrade aplikasi tp gk ada yg berubah,tolong konsumen juga di vermuk spt mitra kurirnya.agar pembelinya,sebab sy mendapati konsumen yg trnyata tdk mengakui klo dia sdh belanja online.pdhl sy sdh sesuai titik,juga nama konsumen sdh dihadapan sy tp gk mengakui dia sdh pesan.sy sdh konfirmasi ke warga ya cuma nama dia satu""-nya nama tsb,tp ttp GK mengakui.atas peristiwa tsb makanya sy usul konsumen perlu di vermuk jika belanja.",,,,,,,,
satria saad,1,"Pengiriman sangat lambat apalagi ,toko nya banyak yg jualan barang kualitas jelek,respon chat live nya tidak memuaskan..pokok nya shopee mengecewakan terutama jasa pengirimannya sangat buruk,nyesel saya belanja disini ,kalau anda pesan obat di shopee,obat nya br tiba kalau anda sudah sekarat...",,,,,,,,
Dwi Yanti,5,pelayanan bagus,,,,,,,,
Alia fitriyani yani,5,barang² di Shopee bnr2 ramah di kantong kualitas juga oke,,,,,,,,
file foto 1,1,jadi males make.. knp harus vidio dulu saat buka shopee risih...,,,,,,,,
Pujiono Jambi,5,puas belanja di shopee,,,,,,,,
vajar,5,Baik,,,,,,,,
Adrian Lakian,1,iklan mengganguuu ga bagus,,,,,,,,
subaery kopang,5,lumayan lah dn GK kalah keren sih,,,,,,,,
Hafit fitransyah,5,Online Shop terbaik di Indonesia,,,,,,,,
Regita elegi Paputungan,5,belanja dsini sangat bagus tpi tolong aktifkan COD saya kenapa COD saya tiba2 di nonaktifkan😢,,,,,,,,
MR DIY17,5,good aplikasi,,,,,,,,
Nina Nina trisnawati,5,Bagus sekali,,,,,,,,
Apun Kornelius,5,shopee yg terbaik ❤️,,,,,,,,
Gian Gianliza,2,"semakin lama semakin gak nyaman dengan kebijakan-kebijakan yang di terapkan apalagi semenjak pengiriman j&t nya di hapus sangat amat di sayang kan sekali... mengutamakan jasa kirim spx yg kinerja kurirnya sangat amat lambat dan tidak baik. jika memang spx yg di utamakan seharusnya di pelajari dulu bagaimana caranya biar bisa memberikan pelayanan yg bagus seperti j&t barulah j&t nya boleh di hapus,kalau begini pelanggan kayak saya yg sudah terlanjur nyaman dgn j&t jadi kecewa berat😔",,,,,,,,
Choerin Erin,5,"shopee aplikasi yang mudah dan segala macam barang ada , harga ramah, pengiriman cepat dan aman , rekomendasi buat kamu semua",,,,,,,,
Baru Aja,3,"sekarang shoope lama, dari seller aja pesanan 3 hari status masih kurir di tugaskan menjemput pesanan. sampe kapan kurir ngejemput nya",,,,,,,,
Dee Aal,5,belanja jd mudah dan tidak ribet,,,,,,,,
Jal Li,1,banyak nge lag. sering susah transaksi padahal jaringan penuh,,,,,,,,
Sari Zeni,5,shopee sangat bagus,,,,,,,,
bondra tory erwanda,5,puas pokok'nya....,,,,,,,,
Shofie Official,5,serba ada semua disini,,,,,,,,
ndin andin,5,all in shopee pokoknya😍,,,,,,,,
Azkia Amira,3,3 bintang dulu entar kalo SDH dapet s pinjam saya kasih bintang 5,,,,,,,,
Sadarman Waruwu21,5,mantap. selalu ada yg baru,,,,,,,,
rama apriadi,5,sho pee bukan kaleng kaleng,,,,,,,,
Wenditije Wewen,5,setiap pesanan sesuai yg di ingin kan,,,,,,,,
widiw nui,1,"ribet,, hrs pake kata2 yg di plesetin jd ga bs komunikasi dgn baik sm seller dn pembeli. tolong di perbaiki lah.. terlalu ketat jg menyulitkan",,,,,,,,
Nur Yadi,5,"belanja di sopo mantap,,",,,,,,,,
Sebastian Hardiharyadi,1,pengirimannya udah gak baik banyak paket yang gak jelas datang nya kapan andai JNT masih ada pasti saya kasih bintang 5...😩🥲,,,,,,,,
Abdul Hafid Nabil,1,bisa gak si spx jangan dibuat rekomendasi. kalo bisa hapus aja spx lambat pengirimannya. sering sekali melebihi batas estimasi pengiriman.,,,,,,,,
Ani zarsari,1,Di keterangan pembelian kuota pas di aplikasi bima pake shopeepay ada potongan voucher 5000 tp setelah bayar pake shopeepay gak ada voucher yg bis di claim .pdhl sudah memenuhi syarat pembelian 🥴,,,,,,,,
Yerri Efendi,3,"proses trek pengiriman masih terlihat kurang dari mulai kota pengirim sampai kota tujuan, seperti yg buta maps, yg muter muter di satu kota.",,,,,,,,
Aa grafika,5,Lebih murah dan barang selalu ok,,,,,,,,
Rojikin Kin,5,"sangat membantu makasih,semoga lancar selalu,,,saya penggin di bika sopy leter saya sama pinjeman. kenapa gak bisa di pakai padahal semua sudah benar",,,,,,,,
HENDRI AFRIANSYAH,5,mempermudah berbelanja,,,,,,,,
Vinda Gustira,5,sya sangat puas dengan berbelanja di shoppy in,,,,,,,,
Afetto chanel,5,I like it,,,,,,,,
Nanda Irval,1,EXPEDISI PUNYA LU ITU LELET!!! LAMBAT!!! KOCAK!!!! SPX APAAN!!!,,,,,,,,
Boank Cobain,5,Saya sudah pengajuan Spinjam tapi belum cair min....,,,,,,,,
Novi Anti,5,cepat tanggap damal pengembalian barang suka bgt sama shopee,,,,,,,,
Sefni Sefni,5,selalu ok,,,,,,,,
te ke,1,"BOROS KUOTA INTERNET!!!! Setiap buka aplikasi shopee selalu diawali dengan video random, dan itupun tidak ada pengaturan resolusi video sesuai keinginan. Belum lagi di beranda, saat scroll produk-produk jualan ada saja video live dan video produk yang berjalan, yang membuat kuota internet lebih banyak terpakai oleh hal yg tidak terlalu penting. Mohon untuk aplikator shopee benahi masalah ini, tidak semua pengguna aplikasi memiliki kuota internet yg cukup untuk menjalankan video-video shopee!",,,,,,,,
Rico Fian,5,"lumayan membantu untuk kehidupan saya yang masih pas pasan, semoga makin maju Shopee",,,,,,,,
Agus Bele,5,mantap men,,,,,,,,
MFR 1997,2,"pengiriman sering lama, gk sesuai Tanggal yang d tentukan kenapa gk kerja sama aja dangan. JNT mereka pengiriman selalu baik, gk kayak Shopee,",,,,,,,,
Hisahito Katashi (Riyan),4,"saran ya. saat paket di kirim ke alamat rumah, kasih kejelasan di shope nya, siapa orang yg anter paket, dan nomer telepon nya agar bisa di hubungi, jadi kalo barang lama Dateng nya bisa saya samperin tukang paket nya",,,,,,,,
Wuri Drajat Permana,1,pengiriman sangat lamaaa GK sesuai estimasi jauh dari estimasi yg di tentukan ongkir mahal pula..saya belanja tanggal 8 sampai sekarang tg 15 pun jg belum sampai.. pengiriman Wonosobo ke Bogor masak lama sekali..yg dari Denpasar sudah sampai nih ..auto unistal sopi..,,,,,,,,
Hanifah Shiva,5,👍terbaik dari yang baik shopee No.1 SE Indonesia,,,,,,,,
Fatih Azka,5,Sangat membantu mencari semua kebutuhan disini...semua ada disini...,,,,,,,,
lilis martini,5,cepat pengirimannya,,,,,,,,
Ahmad Musnansyah,5,ok banget deh,,,,,,,,
Ani Mawarnih,5,bagussssssssssssss,,,,,,,,
Siti Aeni,5,🥰,,,,,,,,
Idris Show,5,terbaik dlam pengiriman,,,,,,,,
Agus Kejora,5,semoga makin berkembang,,,,,,,,
Arnold Toyan,3,sering kecewa dg kurir tanpa pemberitahuan lebih lanjut langsung main return barang.sudh sering kali bgtu pesanan saya langsung di kembalikan ke penjual tanpa ada komunikasi terlebih dahulu.,,,,,,,,
Vtra Dj,1,"sistem validasi sama penjual gajelas, harusnya kalo gadivLidasi sama penjual sampai waktu yang ditentukan otomatis validasi by shoope, ini pembeli yang dirugikan barang udah dibalikin tpi duit gabalik",,,,,,,,
Ummu Salwa,5,kebanyakan Belanja d shope mudah dan cepat dan hanya duduk mnis menunggu barang hehheh meski kadang tdk sesuai harapan dgn BRG yg ada dan saya sarankan penjual yg sering produknya menipu d delete aja akun shope nya yah biar konsumen lebih percaya dgn shope,,,,,,,,
Sel Pi,3,bagus kadang tidak bisa cod,,,,,,,,
Sumargono Aquarius,5,Oke dan sangat bermanfaat. Mantaaap.,,,,,,,,
Meysusanti Bagariang,5,belanja di shopee tidak mengecewakan,,,,,,,,
WARSITI GURU,5,nelihat konten menarik semoga bisa berhasil juga,,,,,,,,
Saidul Yusup,5,bagus untuk meringan belanjaan yang mendadak,,,,,,,,
Jacky Hafidz,1,aplikasi kadang tidak jelas,,,,,,,,
Fransisca Janettan,5,baik 🙏,,,,,,,,
Adrian Romadhon,1,ga ada ekspedisi jnt ga enak spx lama pengiriman nya,,,,,,,,
Erens Megawe,5,Terimakasih 🙏,,,,,,,,
MuhamadReyfanDik ReyfanDika,5,saya suka dengan aplikasi shoppe ini membantu belanja kebutuhan saya tinggal pesen pengantaran ny pun cpt mudah,,,,,,,,
Saya Siapa,1,"spaylater aku kan waktu itu emang pernah telat bayar , tapi kan udah ku bayar semua , terus ini udah 2 bulan kok belom bisa di pake , ga jelas banget dah , kan gue tetap bayar cuma kadang telat , napa ga bisa di pake lagi si tolong perbaiki dong isss, aneh banget , gue emang telat bayar tapi gue bayar semua , napa malah di nonaktifkan deh parah banget",,,,,,,,
Siro 1,4,OK,,,,,,,,
Afif Deril,1,"pengiriman shopee standar ,hampir Minggu kalau pesen makanan pasti basii !",,,,,,,,
Fauzi 67bjn,4,belanja di shopee enak tidak ribet langsung diantar ke rumah sangat cocok bagi yg tidak punya waktu ..,,,,,,,,
Desaintasik,3,"keluhan kali ini adalah kebijakan shopee yg tdk berimbang sya sbg penjual merasa disulitkan, pertama paket banyak yg dikembalikan kedua pelepasan dana yg lama smpe 8 hari walaupun pesanan udh selesai saldo blm masuk, sbg penjual kecil sngat butuh perputaran modal yg cepat. tolong sampaikan kepada pihak terkait ya untuk perform aplikasi gk ada masalah hanya saja kadang ketika buka aplikasi langsung menuju video atau live jadi ganggu banget",,,,,,,,
lina cahyati,5,shopee thebest,,,,,,,,
APRISMAN ARIS,5,pelayanan sangat memuaskan,,,,,,,,
Mahraeni,1,aplikasi pelit dan kocak udah mau 3 tahun sering belanja tp ga pernah balik limit shope paylater,,,,,,,,
En Zly,4,"Mohon tingkatkan kerjasama nya ya antara shoppe dan SPX soal nya alamat yang tertera sudah betul tapi nomor tujuan costumer bisa hilang bahkan tidak ditemukan pada alamat,kejadian nya dialami oleh saya sendiri dimana saya yang nyari kurir bukan kurir yang cari saya tau tau paket sdh di kembalikan kalo ga ngeliat stats di shoppe nya udah dmna",,,,,,,,
Solor Solor,5,tetep sllu amanah nd sllu ada free ongkirr.a buatt shopee top bgtt,,,,,,,,
Imran Ing,5,shoope bagus karena kurirnya ramah,,,,,,,,
Siva Siva,5,mntaaappp,,,,,,,,
